Removed Pin From Net: NetName=N Pin=B1-3
Change Component Footprint: Designator=C221 Old Footprint=SM-0805 New Footprint=0402 (REFLOW)
Change Component Footprint: Designator=C231 Old Footprint=SM-0805 New Footprint=0402 (REFLOW)
Change Component Footprint: Designator=C1 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C101 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C201 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C211 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C241 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C271 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C272 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C311 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C331 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C391 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C401 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C702 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C703 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C901 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C902 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=C903 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=L1 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R201 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R301 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R701 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R702 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R703 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R704 Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Change Component Footprint: Designator=R_LED Old Footprint=SM-0805 New Footprint=0402 (REFLOW LF)
Added Room: Name=CC2530Controller
